context,description,anon_worker_id,trial_number,img_id,q_overall.preimg,q_overall.postimg,q_reconstructivity.preimg,q_relevance.preimg,q_relevance.postimg,q_irrelevance.preimg,q_irrelevance.postimg,q_imgfit.preimg,q_imgfit.postimg,imgstem,article_text
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,798830461311827,8,soccer_in_progress13,3,4,5,3,4,2,3,4,5,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,109393365505621,12,soccer_in_progress13,3,2,4,3,3,5,4,3,2,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,099825784143241,17,soccer_in_progress13,4,3,5,4,4,5,5,2,1,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,544659487901443,1,soccer_in_progress13,4,5,5,5,5,4,5,4,3,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,A soccer field showing advertising billboards in the background.,069937903483971,4,soccer_in_progress1,2,2,4,4,3,4,4,4,2,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,185636463121449,8,soccer_in_progress13,4,4,5,4,4,2,2,5,4,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,426296178465119,9,soccer_in_progress13,4,2,5,3,1,4,3,3,2,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,405240467576233,10,soccer_in_progress1,2,1,5,1,1,1,1,2,1,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,168989005784368,1,soccer_in_progress13,5,5,5,5,5,2,3,4,5,"1599px-20191002_Fußball,_Männer,_UEFA_Champions_League,_RB_Leipzig_-_Olympique_Lyonnais_by_Stepro_StP_0278","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,A soccer field showing advertising billboards in the background.,493086227371514,5,soccer_in_progress1,4,3,4,4,3,5,5,4,4,"1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
