context,participant,img_id,description,q_reconstructivity,q_relevance,q_irrelevance,q_imgfit,q_overall,q_oremainingqs,q_ogoodparts,q_obadparts,q_ocomments,article_text
Advertising,p13,soccer_in_progress13,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,3,2,2,3,3,How are the players cellebrating? What are they doing perhaps?,I thought the image is objectively described over all.,"I am wondering if the advertising part needs to be described more closely? Maybe an image description may look like: ""A soccer match in progress. Posters with flashy fonts and images surround the field as players score a goal."" I wouldn't describe the ads; let the advertisers do it themselves if they want to...",NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p5,soccer_in_progress13,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,5,2,5,5,4,What are the indicators to determine that the banners are ads?,"The description includes additional information to provide situational context/environmental, e.g ad banners in a soccer stadium.",Lack of specific indicators for determining that the banners are ads,"The image description provides relevancy to the article title and content, however more specifics are needed.","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p16,soccer_in_progress13,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,2,3,2,2,1,What are the advertisements of? Are they open-ended? What medium are they in?,They included advertisements in the photo.,"The description depicted none of the most popular forms of ads (television, radio, social media, blogs, newspapers, etc.). Instead, it glanced by mentioning it while focusing the image description on the people and the sports event.","Perhaps describing the ad, the medium it is in, and some of its contents would better address these issues.","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p1,soccer_in_progress13,Five soccer players celebrate a goal in a soccer match--the field is surrounded by advertising.,4,1,1,3,4,What are the advertisements around the field?,It was brief,"The description should include more about the advertisements, the subject of the paragraph.",NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p4,soccer_in_progress13,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,4,3,5,4,4,does the image feature any other forms of advertising?,short and highlighted relevant info,nothing,good,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p8,soccer_in_progress1,A soccer field showing advertising billboards in the background.,3,2,3,5,1,What is the impact of advertising and why is it important to have billboards near sports fields?,Sets the scene of wherre the billboards are located.,The billboards could have been better described to detail what is being advertised in the image.,NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p3,soccer_in_progress1,A soccer field showing advertising billboards in the background.,3,3,3,5,4,"Unless it is important to know, which I don't think it is, what type of advertisements are being shown in the background?",NA,NA,NA,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p2,soccer_in_progress1,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,5,3,4,1,4,Are there ads or sponsorships visible in this picture?,"Decent, basic description of an image.",Not clear how this is relevant to the article.,Inadequate description or poor image choice?,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p12,soccer_in_progress1,One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,3,2,3,5,3,People's skin color.,The ball is flying.,Not detailed.It did not tell what kind people. White or back.,Tell us colors.,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
Advertising,p9,soccer_in_progress13,This is a picture of a soccer stadium. A team is cheering next to a bunch of ad banners.,3,4,3,4,3,that adds are noticed if any?,na,na,na,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
