"mistake_comments","startDate","rt_qs_wimage_seconds","q3_sliderval","q1_sliderval","img_file","enjoyment","q5_type","mistake_checkbox","q2_sliderval","botresponse","discr_checkbox","continue","endTime","age","rt_trial","comments","q4_sliderval","img_id","topic","education","q1_type","q5_sliderval","HitCorrect","q2_type","languages","rt_qs_noimage_seconds","q3_type","context","description","discr_comments","trial_number","startTime","rt_article_read_seconds","q4_type","timeSpent","anon_worker_id"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",24.074,"4|3","5|5","river.jpeg",1,"overall",FALSE,"3|3","correct: 1",FALSE,TRUE,1642131290713,36,61.026,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","2|4","mountains18","mountains","graduated_college","no_irrelevant","3|4",1,"reconstructive","English",22.838,"image_fit","Orogeny","Hills and mountains are shown in the background rising above the curves of a meandering river.",NA,1,1642127657521,14.114,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",18.05,"1|1","3|1","640px-parc_agen.jpg",1,"overall",FALSE,"3|3","correct: 1",FALSE,TRUE,1642131290713,36,59.042,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|2","park1","attention_check","graduated_college","no_irrelevant","2|2",1,"reconstructive","English",17.114,"image_fit","Sculpture","A park on a nice day with lots of grass and trees and a pond.",NA,2,1642127657521,23.878,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",18.393,"3|2","4|4","Oberaargletscher_from_Oberaar,_2010_07.jpeg",1,"overall",FALSE,"2|2","correct: 1",FALSE,TRUE,1642131290713,36,448.156,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","2|2","mountains16","mountains","graduated_college","no_irrelevant","2|1",1,"reconstructive","English",25.113,"image_fit","Montane Ecosystems","A very high Montane ecosystem providing little trees and shrubs due to its harsh cold environment and hilly range covered in snow.",NA,3,1642127657521,404.65,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",24.198,"4|2","4|4","1599px-Georgios_Ntaviotis_&_Daniel_Souček,_U21_CZE-GRE_2019-10-10.jpg",1,"overall",FALSE,"4|4","correct: 1",FALSE,TRUE,1642131290713,36,221.386,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","4|3","soccer_in_progress1","soccer_in_progress","graduated_college","no_irrelevant","2|2",1,"reconstructive","English",21.019,"image_fit","Advertising","A soccer field showing advertising billboards in the background.",NA,4,1642127657521,176.169,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",15.301,"3|4","3|4","wiki_livingroom.jpg",1,"overall",FALSE,"4|4","correct: 1",FALSE,TRUE,1642131290713,36,35.934,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|5","living_room15","living_room","graduated_college","no_irrelevant","4|4",1,"reconstructive","English",17.469,"image_fit","Interior design","A living room with three people sitting on flowery furniture, talking with each other.",NA,5,1642127657521,3.164,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",11.671,"5|5","4|5","Wohnzimmer_Fallada_1.JPG",1,"overall",FALSE,"5|5","correct: 1",FALSE,TRUE,1642131290713,36,32.198,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","5|5","living_room6","living_room","graduated_college","no_irrelevant","5|5",1,"reconstructive","English",18.405,"image_fit","Furniture","There are wooden chairs around a round table that is also made out of wood. To the side of the table there is a wooden cabinet with glass doors used to keep tea cups.",NA,6,1642127657521,2.122,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",21.272,"4|4","2|3","1600px-2019-11-28_14_40_55_A_dinner_table_laid_out_for_Thanksgiving_Dinner_in_the_Parkway_Village_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",1,"overall",FALSE,"5|5","correct: 1",FALSE,TRUE,1642131290713,36,39.749,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","4|4","laid_table12","laid_table","graduated_college","no_irrelevant","4|4",1,"reconstructive","English",15.404,"image_fit","American cuisine","A rectangular table with a red plaid table cloth on it and wooden chairs around it.  The table is set with 5 place setting, each with a plate and red solo cup.  Each setting has a bowl of salad in front of it.  There are various food items in the middle of the table in serving dishes.  The food items look like they could be from a Thanksgiving dinner.",NA,7,1642127657521,3.073,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",17.216,"2|3","5|5","Dreifaltigkeitskirche_süd.jpg",1,"overall",FALSE,"2|2","correct: 1",FALSE,TRUE,1642131290713,36,37.115,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|4","church4","church","graduated_college","no_irrelevant","2|3",1,"reconstructive","English",17.644,"image_fit","Building material","This is an old brick church. There are tombstones in front of it.",NA,8,1642127657521,2.255,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",25.057,"2|3","2|3","Thanksgiving_Dinner_Table,_Broward_County_Florida,_1971_02.jpg",1,"overall",FALSE,"4|4","correct: 1",FALSE,TRUE,1642131290713,36,44.598,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","3|3","laid_table14","laid_table","graduated_college","no_irrelevant","2|3",1,"reconstructive","English",17.689,"image_fit","Tableware","Tableware is shown at place settings around a formal dining table with a white tablecloth. A turkey sits on the table.",NA,9,1642127657521,1.852,"all_relevant",60.5532,"069937903483971"
NA,"Thu Jan 13 2022 21:34:17 GMT-0500 (Eastern Standard Time)",18.644,"4|5","5|5","1599px-20180920_Fussball,_UEFA_Europa_League,_RB_Leipzig_-_FC_Salzburg_by_Stepro_StP_8051.jpg",1,"overall",FALSE,"4|4","correct: 1",FALSE,TRUE,1642131290713,36,96.62,"I honestly did my best here, did try to place myself in the shoes of someone that needs the descriptions and try to determine whether these were a help or a hindrance or just plain useless in terms of accessibility.","4|5","soccer_in_progress10","soccer_in_progress","graduated_college","no_irrelevant","4|5",1,"reconstructive","English",13.542,"image_fit","Competition","A group of men playing soccer as one tries to the kick the ball away from another.",NA,10,1642127657521,64.434,"all_relevant",60.5532,"069937903483971"
