imgstem_version,texts,text_controls,clipscore
73118,"Religious school groundbreaking, 1950","Religious school groundbreaking, 1950",0.7919921875
101779,"Inter-Allied Women's Conference participants in February: First row, left to right: Florence Jaffray Harriman (US); Marguerite de Witt-Schlumberger (France); Marguerite Pichon-Landry (France). Second row: Juliet Barrett Rublee (US); Katharine Bement Davis (US), Ccile Brunschvicg (France). Third row: Millicent Garrett Fawcett (UK); Ray Strachey (UK); Rosamond Smith (UK). Fourth row: Jane Brigode (Belgium); Marie Parent (Belgium). Fifth row: Nina Boyle (South Africa); Louise van den Plas (Belgium). Sixth row: Graziella Sonnino Carpi (Italy); Eva Mitzhouma (Poland)","Inter-Allied Women's Conference participants in February: First row, left to right: Florence Jaffray Harriman (US); Marguerite de Witt-Schlumberger (France); Marguerite Pichon-Landry (France). Second row: Juliet Barrett Rublee (US); Katharine Bement Davis (US), Ccile Brunschvicg (France). Third row: Millicent Garrett Fawcett (UK); Ray Strachey (UK); Rosamond Smith (UK). Fourth row: Jane Brigode (Belgium); Marie Parent (Belgium). Fifth row: Nina Boyle (South Africa); Louise van den Plas (Belgium). Sixth row: Graziella Sonnino Carpi (Italy); Eva Mitzhouma (Poland)",0.75927734375
82422,"La Dame de chez Maxim, 1899","La Dame de chez Maxim, 1899",0.86669921875
3071,"Aureus of Marcus Aurelius (AD December 173  June 174), with his equestrian statue on the reverse. inscription: M. ANTONINVS AVG. TR. P. XXVIII / IMP. VI, CO[N]S III.","Aureus of Marcus Aurelius (AD December 173  June 174), with his equestrian statue on the reverse. inscription: M. ANTONINVS AVG. TR. P. XXVIII / IMP. VI, CO[N]S III.",0.82275390625
28691,"Johnny's bar in Hollister, California has a mural featuring ""Wino"" Willie Forkner (left) alongside iconic personas from Easy Rider and The Wild One.","Johnny's bar in Hollister, California has a mural featuring ""Wino"" Willie Forkner (left) alongside iconic personas from Easy Rider and The Wild One.",0.8837890625
370,Apollo9 backup crew training in Gumdrop,Apollo9 backup crew training in Gumdrop,0.703125
74586,Siege of Tiruchirappalli (Trichinopoly) during the Carnatic wars of 1751,Siege of Tiruchirappalli (Trichinopoly) during the Carnatic wars of 1751,0.609375
41859,Remains of Kehoe's Ford truck after the explosion,Remains of Kehoe's Ford truck after the explosion,0.763671875
39556,The interchange of Anthony Henday Drive Yellowhead Trail east of Edmonton is a hybrid design with braided ramps and high capacity third level flyovers,The interchange of Anthony Henday Drive Yellowhead Trail east of Edmonton is a hybrid design with braided ramps and high capacity third level flyovers,0.79052734375
70241,The Royal Arcade,The Royal Arcade,0.84716796875
